Relationship1,Relationship2,Count
husband,wife,106818
father,son,105211
son,father,97208
brother,brother,89695
wife,husband,50950
father,daughter,43513
son,mother,41818
brother,sister,30114
daughter,mother,29301
daughter,father,28050
mother,son,27611
mother,daughter,24693
cousin(M),cousin(M),7570
cousin(M),cousin(F),3105
cousin(F),cousin(M),1995
cousin(F),cousin(F),973
nephew,uncle,23149
sister,sister,23075
sister,brother,21008
grandson,grandfather,18039
uncle,nephew,15887
grandfather,grandson,8759
grandson,grandmother,5461
niece,aunt,5068
nephew,aunt,4910
uncle,niece,4635
niece,uncle,4510
granddaughter,grandmother,4468
granddaughter,grandfather,3890
aunt,niece,2917
aunt,nephew,2901
grandfather,granddaughter,2605
grandmother,grandson,1751
grandmother,granddaughter,1501
